"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:JORJI_PASSPORTS","Man. Fine.","No dobrze."
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","Załatwię sobie nowy, ale trochę mi to nie pasuje."
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","Zapamiętaj, co jest na ulotce i oddawaj."
"traveler:JORJI_PASSPORTS","Hey you know what.","Wiesz co?"
"traveler:JORJI_PASSPORTS","Take my passport.","Weź mój paszport."
"traveler:JORJI_PASSPORTS","I get another one no problem.","Załatwię inny. Żaden problem."
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","Teraz zapamiętaj to, co jest na ulotce i oddaj mi ją z powrotem."
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","Nie chcę sobie narobić kłopotów!"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","Obristan piękny o tej porze roku."
"traveler:JORJI_PASSPORTS","Lots of snow.","Dużo śniegu."
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","Nie wiem, skąd weźmiesz paszporty dla rodziny."
"traveler:JORJI_PASSPORTS","But you smart guy.","Ale spryciarz jesteś."
"traveler:JORJI_PASSPORTS","Probably figure it out!","Na bank dasz sobie radę!"
"traveler:JORJI_PASSPORTS","Good luck.","Powodzenia."
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","Chłopie! Zrobiłem niezły biznes!"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","Wielki! Nie masz pojęcia!"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","W każdym razie chcę ci podziękować."
"traveler:JORJI_GOODBYE","I wait in line just for that!","Czekałem w tej kolejce tylko po to."
"traveler:JORJI_GOODBYE","Maybe I quit now.","To ja może pójdę."
"traveler:JORJI_GOODBYE","Haha!","Ha ha!"
"traveler:BROTHEL0","Hello handsome.","Witaj, przystojniaku."
"traveler:BROTHEL0","You look bored.","Wyglądasz na znudzonego."
"traveler:BROTHEL0","If you want good time, come see us.","Jeżeli chcesz się zabawić, odwiedź nas."
"traveler:BROTHEL0","I will be around couple months.","Będę tu przez parę miesięcy."
"traveler:BROTHEL0","Don't forget to visit.","Nie zapomnij do nas wpaść."
"traveler:BROTHEL1","Hey there.","Serwusik!"
"traveler:BROTHEL1","I can make you happy any time.","Mogę cię uszczęśliwić w każdej chwili."
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","Przyjdź do Różowego Podziemia. Pytaj o Avę."
"traveler:BROTHEL2","Oh. Here.","O, proszę."
"traveler:BROTHEL2","Please help me.","Pomóż mi, proszę."
"traveler:BROTHEL3","Hello friend.","Witaj, przyjacielu."
"traveler:BROTHEL3","You come down, I give you good girl.","Jeśli nas odwiedzisz, dostaniesz niezłą dziewczynę."
"traveler:BROTHEL3","That little bitch.","A to dziwka!"
"traveler:BROTHEL3","I break her in two.","Połamię jej kości."
"traveler:BROTHEL3","@You are Dari Ludum?","@Jesteście Dari Ludum?"
"traveler:BROTHEL3","Of course, it says on passport.","Oczywiście, przecież tak jest w paszporcie."
"traveler:BROTHEL3","@One moment.","@Poczekajcie chwilę."
"traveler:BROTHEL3","What is this shit?","Co to za syf?"
"traveler:BROTHEL3","Give my papers back.","Chcę moje papiery z powrotem."
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@Jesteście Vince Lestrade?"
"traveler:KILLERATHLETE","Damn.","Cholera."
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","Ja jej nie zabiłem. Zostałem wrobiony."
"traveler:KILLERATHLETE","Do not believe the Republian lies.","Nie wierzcie w republiańskie kłamstwa."
"traveler:KILLERATHLETE","Let me through.","Przepuśćcie mnie."
"traveler:KILLERATHLETE","Shit.","Cholera."
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","Dzisiaj jest piękny dzień, przyjacielu."
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","W końcu jesteśmy wolni od antegryjskiej tyranii!"
"traveler:HUSBAND_WIFE0","Thank you so much!","Dziękuję wam!"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","Proszę, bądźcie łaskawi dla [m]mojej żony[/m][f]mojego męża[/f], jest tuż za mną."
"traveler:HUSBAND_WIFE0","No! They will kill us!","Nie! Oni nas zabiją!"
"traveler:HUSBAND_WIFE0","Please, I beg you.","Proszę, błagam was."
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","Pozwólcie [m]mojej żonie[/m][f]mojemu mężowi[/f] przejść. Zaraz będzie u was."
"traveler:HUSBAND_WIFE1","Did you see my husband?","Widzieliście [m]moją żonę[/m][f]mojego męża[/f]?"
"traveler:HUSBAND_WIFE1","He made it through, yes?","[m]Przeszła[/m][f]Przeszedł[/f], prawda?"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@Gdzie jest wasza zgoda na wjazd?"
"traveler:HUSBAND_WIFE1","Please, I beg you.","Proszę, błagam was."
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","Nie dadzą mi zgody. Nie mam wyboru."
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","Zabiją mnie, jeśli wrócę do Antegrii."
"traveler:HUSBAND_WIFE1","Thank you.","Dziękuję wam."
"traveler:HUSBAND_WIFE1","We will not forget.","Nie zapomnimy tego."
"traveler:HUSBAND_WIFE1","Why?","Dlaczego?"
"traveler:HUSBAND_WIFE1","You have doomed me.","Przez was zginę."
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","Dlaczego zawróciliście [m]moją żonę[/m][f]mojego męża[/f]?"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","Nie zostawię [m]jej[/m][f]go[/f] na śmierć."
"traveler:HUSBAND_WIFE1","You have doomed us both.","Przez was zginiemy oboje."
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","Przechodzi tędy wielu ludzi, prawda?"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","Poszukuję inżynierów."
"traveler:HIRING_ENGINEERS_START","Do me a favor.","Wyświadczcie mi przysługę."
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","Dajcie moją wizytówkę wszystkim napotkanym inżynierom."
"traveler:HIRING_ENGINEERS_START","I come back in few days.","Wrócę za kilka dni."
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","Płacę 5 kredytów za każdego inżyniera, który się ze mną skontaktuje."
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","Popełniliście błąd, ale pozwolę wam go naprawić."
"traveler:HIRING_ENGINEERS","What is this?","Co to jest?"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","Aha. ; Hm. ; Prowadzą rekrutację?"
"traveler:HIRING_ENGINEERS","I have already.","Mam już jedną."
"traveler:HIRING_ENGINEERS","Stop giving to me.","Przestańcie mi to wciskać."
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","Weźcie je sobie z powrotem. Nie chcę tego."
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","Ładna wizytówka? ; Dziękuję ; Nie były tanie. ;"
"traveler:HIRING_ENGINEERS_END","I am back.","Wróciłem."
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","Ilu inżynierów spotkaliście?"
"traveler:HIRING_ENGINEERS_END","I got no calls.","Nikt do mnie nie zadzwonił."
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","Nie daliście nikomu wizytówki."
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Wielkie dzięki."
"traveler:HIRING_ENGINEERS_END","I get only one call.","Miałem tylko jeden telefon."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","Na szczęście to dobry fachowiec."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Oto obiecane wynagrodzenie."
"traveler:HIRING_ENGINEERS_END","I got two calls.","Zadzwoniło do mnie dwóch inżynierów."
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","Jeden z nich był niezły."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Drugi okazał się przeciętny."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Tak czy inaczej, dzięki."
"traveler:HIRING_ENGINEERS_END","I got three calls.","Zadzwoniło do mnie trzech inżynierów."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Dwóch było niezłych."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Ostatni gość okazał się idiotą. Nie znał podstaw."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","W każdym razie jest w porządku. Doceniam wasz wysiłek."
"traveler:HIRING_ENGINEERS_END","I got four calls.","Zadzwoniło do mnie czterech inżynierów."
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","Trzech było budowlańcami. Bezużyteczni."
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","Potrzebuję mechaników. Mówiłem wam."
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","W każdym razie jest w porządku. Ostatni kontakt okazał się doskonały."
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","Dziękuję za pomoc."
"traveler:FRIENDLY_GUARD0","Hello.","Witajcie."
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","Słyszałem, że jesteście z Nirska?"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","Dorastałem tam, ale nie było mnie tam od lat."
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@To ciągle dziura zabita dechami. Jak zawsze."
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","Haha, oczywiście. Całkiem jak w moich wspomnieniach."
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","Jestem Sergiu. Miło was poznać."
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","Dołożę wszelkich starań, by zapewnić wam bezpieczeństwo."
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","Dziękuję za wczoraj."
"traveler:FRIENDLY_GUARD1","My aim is not like before.","Nie mam już takiego oka jak kiedyś."
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","Na tym posterunku dzieje się więcej niż na wojnie."
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","Walczyłem w Kolechii przez 5 lat."
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","Jeżeli myślicie, że w Arstoczce jest ciężko, to w Kolechii jest dziesięć razy gorzej."
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","Nie winię ich za to, że chcą wrócić do domu."
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","W każdym razie dobrze sobie radzicie. Tak trzymać."
"traveler:FRIENDLY_GUARD3","Friend, how are you?","Jak się masz, przyjacielu?"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","Miałbym małą prośbę."
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","W trakcie wojny poznałem piękną dziewczynę."
"traveler:FRIENDLY_GUARD3","I think about her every moment.","Teraz bez przerwy o niej myślę."
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","Wczoraj dostałem wiadomość, że moja ukochana w końcu się tu zjawi."
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","Proszę, pozwól jej przejść."
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","Nazywa się Elisa."
"traveler:FRIENDLY_GUARD4","Thank you for everything.","Dziękuję za wszystko."
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Elisa jest tu bardzo szczęśliwa."
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","Mówi, że nasz pierworodny dostanie imię po tobie."
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","Jak dla mnie może być, ale powiedziałem jej, że najpierw chcę córkę!"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","Chciałbym pokazać jej medalion."
"traveler:FRIENDLY_GUARD4","Do you still have it?","Czy wciąż go masz?"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","Ach, brakowało mi go."
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","Może to niewiele, ale znalazłem sposób, by wyrazić moją wdzięczność."
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Elisa dostarczy to do twojego domu. Mam nadzieję, że się przyda."
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","Jutro zostanę przeniesiony na inny posterunek."
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","Trzymaj się i uważaj na siebie, przyjacielu."
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Elisa się nie pojawiła."
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@Była do odprawy, lecz jej papiery były nie w porządku."
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@Powiedzcie jej, żeby przyszła ponownie z właściwymi dokumentami."
"traveler:FRIENDLY_GUARD4","You know this is impossible.","Wiecie, że to niemożliwe."
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","Jeżeli wciąż macie medalion, oddajcie mi go."
"traveler:ELISA","Do you know Sergiu?","Czy znacie Sergiu?"
"traveler:ELISA","He said you were friend. That you would help.","Powiedział, że jesteście jego przyjacielem i nam pomożecie."
"traveler:ELISA","Please, my family is gone.","Proszę, cała moja rodzina zginęła."
"traveler:ELISA","I have only Sergiu left.","Tylko Sergiu mi pozostał."
"traveler:ELISA","@You do not have the required documentation.","@Nie macie wymaganych dokumentów."
"traveler:ELISA","I tried for so long.","Tak długo się starałam..."
"traveler:ELISA","They would not allow me to leave.","Nie pozwolą mi wyjechać."
"traveler:ELISA","I am denied?","Czy zostanę zawrócona?"
"traveler:ELISA","I understand.","Rozumiem."
"traveler:ELISA","Please, tell Sergiu I will always love him.","Proszę, powiedzcie Sergiu, że zawsze go będę kochać."
"traveler:ELISA","We will be together in another life.","Będziemy razem w przyszłym życiu."
"traveler:ELISA","Return this for him to remember me.","Dajcie mu to, by przypominało mu o mnie."
"traveler:ELISA","Thank you so much.","Bardzo wam dziękuję."
"traveler:ELISA","I will never forget your kindness.","Nigdy nie zapomnę waszej dobroci."
"traveler:ELISA","@He is waiting for you.","@Sergiu czeka na was."
"traveler:ELISA","My love.","Mój ukochany."
"traveler:ELISA","I miss him.","Tęsknię za nim."
"traveler:ELISA","@I am sorry. Sergiu was killed.","@Przykro mi, Sergiu został zabity."
"traveler:ELISA","My Sergiu.","Mój Sergiu."
"traveler:ELISA","Thank you for your kindness.","Dziękuję za waszą dobroć."
"traveler:ELISA","There is nothing for me here any more.","Nic już tutaj po mnie."
"traveler:ELISA","Thank you.","Dziękuję wam."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","Nie zatrzymaliście nikogo."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","Zatrzymaliście jedną osobę."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","Zatrzymani: ${Game/NumDetains}."
"traveler:PRISON_GUARD0","Hello.","Witajcie."
"traveler:PRISON_GUARD0","@Are you the spy?","@Szpiegujecie tu?"
"traveler:PRISON_GUARD0","What? No.","Co? Nie."
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","Jestem strażnikiem. Nazywam się Kaleńsk."
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","Powiedzieli mi, że dostanę dobry przydział, a potem wysłali tutaj."
"traveler:PRISON_GUARD0","This is thanks I get.","Tak się tutaj dziękuje za dobrą służbę."
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","Teraz płacą mi marne grosze."
"traveler:PRISON_GUARD0","@They pay us all as much.","@Wszystkim tyle płacą."
"traveler:PRISON_GUARD0","Yes. But look.","Tak. Ale posłuchaj tego:"
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","Za każdą osobę zatrzymaną przez was dostaję dodatek do żołdu."
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","Im więcej osób zatrzymacie, tym więcej pracy i pieniędzy dla mnie."
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","Ale to nie jest uczciwe, prawda? Wy też powinniście coś z tego mieć."
"traveler:PRISON_GUARD0","So I fix this problem.","Dlatego wyrównam tą niesprawiedliwość."
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","Dostaniecie 5 kredytów z mojego dodatku za każde dwie zatrzymane osoby."
"traveler:PRISON_GUARD0","Sounds like good deal to me.","Na moje oko to całkiem niezły interes."
"traveler:PRISON_GUARD0","I give money to you after I get paid.","Dam wam pieniądze, gdy tylko mi zapłacą."
"traveler:PRISON_GUARD0","Let us make the best of this.","Trzeba sobie pomagać."
"traveler:PRISON_GUARD3","Here.","Proszę."
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","To za mój dodatek i sprzedaż części z bomby."
"traveler:PRISON_GUARD3","They move our station to prison.","Przenoszą nas na posterunek do więzienia."
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","Dodatek do żołdu wciąż obowiązuje, więc wciąż zatrzymujcie ludzi.~"
"traveler:PRISON_GUARD3","I stop visiting you here.","Nie będę was już tu odwiedzał."
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","Zamiast tego będę podrzucał pieniądze do was do domu."
"traveler:PRISON_GUARD3","Every other night.","Co drugi dzień."
"traveler:PRISON_GUARD_PAYOUT","What is going on?","Co się dzieje?"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","Przez was nic nie dostaję."
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","Zatrzymujcie więcej ludzi, a obaj na tym skorzystamy."
"traveler:PRISON_GUARD_PAYOUT","Good morning.","Witajcie."
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","Nie zatrzymujecie wystarczająco wielu podróżnych."
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","Nie mam nic dla was."
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","Zatrzymujcie więcej ludzi, by mieć udział w zysku."
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","Dodatek przyszedł, płacą mi w porządku."
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","Ale nie jest to ogromna kwota."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","Może gdybyście zatrzymywali więcej podróżnych, wychodzilibyśmy na tym lepiej,"
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@To za mało."
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","Wiem."
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","Moja żona jest chora. Sąsiad zaraża wszystkich grypą."
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","Tyle zostało po tym, jak kupiłem leki."
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","Dam wam resztę następnym razem."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","Może zatrzymasz więcej ludzi, żeby było łatwiej."
"traveler:PRISON_GUARD_PAYOUT","Here is your cut.","Oto wasza dola."
"traveler:PRISON_GUARD_PAYOUT","@There is more from last time.","@Należy się więcej za ostatni raz."
"traveler:PRISON_GUARD_PAYOUT","This is all I have now but soon I make up rest.","Więcej nie mam, ale wkrótce dam wam resztę."
"traveler:PRISON_GUARD_PAYOUT","Again it is a little short.","Znów pieniędzy jest nieco mniej."
"traveler:PRISON_GUARD_PAYOUT","Keep detaining and I pay you back soon.","Kontynuujcie zatrzymania, a wkrótce spłacę dług."
"traveler:PRISON_GUARD_BOMB","What is going on?","Co się dzieje?"
"traveler:PRISON_GUARD_BOMB","Oh. Hah.","Och. Hm."
"traveler:PRISON_GUARD_BOMB","What is this amateur shit?","Co to za szajs?"
"traveler:PRISON_GUARD_BOMB","@Should we evacuate?","@Powinniśmy się ewakuować?"
"traveler:PRISON_GUARD_BOMB","For that little thing? No of course not.","Z powodu tego maleństwa? Oczywiście, że nie."
"traveler:PRISON_GUARD_BOMB","Just disable it. Open the cover.","Po prostu ją rozbrójcie. Otwórzcie pokrywę."
"traveler:PRISON_GUARD_BOMB","Stupid fucking terrorist.","Jebany debil, a nie terrorysta."
